content,score,at,cleaning,case_folding,normalisasi,Performa_Aplikasi,Pemesanan_Tiket,Operasional_Perjalanan,Layanan_Akun,_key,Sentimen
"KAI access memudahkan perjalanan dan aktivitas saya, pokok nya mantap 👍",5,2026-03-24 06:33:57,KAI access memudahkan perjalanan dan aktivitas saya pokok nya mantap,kai access memudahkan perjalanan dan aktivitas saya pokok nya mantap,kai access memudahkan perjalanan dan aktivitas saya pokok nya mantap,0,0,1,1,"KAI access memudahkan perjalanan dan aktivitas saya, pokok nya mantap 👍||kai access memudahkan perjalanan dan aktivitas saya pokok nya mantap",positif
makasih banget buat tim CS nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya ★★★★★,5,2026-03-24 05:43:24,makasih banget buat tim CS nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya,makasih banget buat tim cs nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya,makasih banget buat tim customer service nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya,0,0,0,1,makasih banget buat tim CS nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya ★★★★★||makasih banget buat tim customer service nya yang dapat membantu semua kendala dan mudah juga untuk dihubungi nya,positif
baik,5,2026-03-24 05:42:20,baik,baik,baik,0,0,0,0,baik||baik,netral
mantap,5,2026-03-24 05:06:09,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
stelah upgrade premium jmlah penumpang cuma 4 orang max.sdng keluarga sy 6 orang jd harus ngalah 2 ga bisa naik kereya,1,2026-03-24 04:07:30,stelah upgrade premium jmlah penumpang cuma orang max sdng keluarga sy orang jd harus ngalah ga bisa naik kereya,stelah upgrade premium jmlah penumpang cuma orang max sdng keluarga sy orang jd harus ngalah ga bisa naik kereya,stelah upgrade premium jmlah penumpang cuma orang max sdng keluarga sy orang jd harus ngalah tidak bisa naik kereya,1,0,0,0,stelah upgrade premium jmlah penumpang cuma 4 orang max.sdng keluarga sy 6 orang jd harus ngalah 2 ga bisa naik kereya||stelah upgrade premium jmlah penumpang cuma orang max sdng keluarga sy orang jd harus ngalah tidak bisa naik kereya,negatif
sippp,5,2026-03-24 03:00:14,sippp,sippp,sippp,0,0,0,0,sippp||sippp,positif
"kok ngga ada jadwal terus pdahal sblumnya jga ada,jalur juga sama",3,2026-03-24 02:57:30,kok ngga ada jadwal terus pdahal sblumnya jga ada jalur juga sama,kok ngga ada jadwal terus pdahal sblumnya jga ada jalur juga sama,kok ngga ada jadwal terus pdahal sblumnya jga ada jalur juga sama,0,0,1,0,"kok ngga ada jadwal terus pdahal sblumnya jga ada,jalur juga sama||kok ngga ada jadwal terus pdahal sblumnya jga ada jalur juga sama",negatif
mantap tetap berinovasi yang lebih baik,5,2026-03-24 02:56:06,mantap tetap berinovasi yang lebih baik,mantap tetap berinovasi yang lebih baik,mantap tetap berinovasi yang lebih baik,0,0,0,0,mantap tetap berinovasi yang lebih baik||mantap tetap berinovasi yang lebih baik,positif
masih belum bisa di pakai,4,2026-03-24 02:48:41,masih belum bisa di pakai,masih belum bisa di pakai,masih belum bisa di pakai,0,0,0,0,masih belum bisa di pakai||masih belum bisa di pakai,negatif
"burukkk sering gabisa diakses jadi gak jelas, udah bayar tapi gak keupdate di aplikasi jadi hilang tiket",1,2026-03-24 02:46:36,burukkk sering gabisa diakses jadi gak jelas udah bayar tapi gak keupdate di aplikasi jadi hilang tiket,burukkk sering gabisa diakses jadi gak jelas udah bayar tapi gak keupdate di aplikasi jadi hilang tiket,burukkk sering gabisa diakses jadi tidak jelas sudah bayar tapi tidak keupdate di aplikasi jadi hilang tiket,1,1,0,1,"burukkk sering gabisa diakses jadi gak jelas, udah bayar tapi gak keupdate di aplikasi jadi hilang tiket||burukkk sering gabisa diakses jadi tidak jelas sudah bayar tapi tidak keupdate di aplikasi jadi hilang tiket",negatif
baik,5,2026-03-24 02:43:37,baik,baik,baik,0,0,0,0,baik||baik,netral
"udah beli tiket bayar dengan cara qris,ehh malah gak ada tiketnya.kemana tiketnya oiii??mau berangkat gimana????",2,2026-03-24 02:42:55,udah beli tiket bayar dengan cara qris ehh malah gak ada tiketnya kemana tiketnya oiii mau berangkat gimana,udah beli tiket bayar dengan cara qris ehh malah gak ada tiketnya kemana tiketnya oiii mau berangkat gimana,sudah beli tiket bayar dengan cara qris ehh malah tidak ada tiketnya kemana tiketnya oiii mau berangkat gimana,0,1,1,0,"udah beli tiket bayar dengan cara qris,ehh malah gak ada tiketnya.kemana tiketnya oiii??mau berangkat gimana????||sudah beli tiket bayar dengan cara qris ehh malah tidak ada tiketnya kemana tiketnya oiii mau berangkat gimana",negatif
setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo gak bisa dipakai lah,1,2026-03-24 02:36:14,setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo gak bisa dipakai lah,setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo gak bisa dipakai lah,setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo tidak bisa dipakai lah,1,0,1,0,setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo gak bisa dipakai lah||setiap mau check in di stasiun pasti gabisa di buka aplikasi nya gausah buat aplikasi kalo tidak bisa dipakai lah,negatif
cepat & mudah diakses . sukses terus kai,5,2026-03-24 02:31:29,cepat mudah diakses sukses terus kai,cepat mudah diakses sukses terus kai,cepat mudah diakses sukses terus kai,0,0,0,1,cepat & mudah diakses . sukses terus kai||cepat mudah diakses sukses terus kai,positif
Oke,5,2026-03-24 02:29:55,Oke,oke,oke,0,0,0,0,Oke||oke,netral
bagus,4,2026-03-24 02:16:00,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
"sekarang ribet banget aplikasi nya, kenapa akun I gk bisa order 4 tiket sekaligus?? padahal maksimal kan 4,tapi tetep aja gk bisa makin aneh nih aplikasi",1,2026-03-24 02:14:03,sekarang ribet banget aplikasi nya kenapa akun I gk bisa order tiket sekaligus padahal maksimal kan tapi tetep aja gk bisa makin aneh nih aplikasi,sekarang ribet banget aplikasi nya kenapa akun i gk bisa order tiket sekaligus padahal maksimal kan tapi tetep aja gk bisa makin aneh nih aplikasi,sekarang ribet banget aplikasi nya kenapa akun i tidak bisa order tiket sekaligus padahal maksimal kan tapi tetep saja tidak bisa makin aneh nih aplikasi,1,1,0,1,"sekarang ribet banget aplikasi nya, kenapa akun I gk bisa order 4 tiket sekaligus?? padahal maksimal kan 4,tapi tetep aja gk bisa makin aneh nih aplikasi||sekarang ribet banget aplikasi nya kenapa akun i tidak bisa order tiket sekaligus padahal maksimal kan tapi tetep saja tidak bisa makin aneh nih aplikasi",negatif
"bagus,cepat",5,2026-03-24 01:51:13,bagus cepat,bagus cepat,bagus cepat,0,0,0,0,"bagus,cepat||bagus cepat",positif
Ini gimana sih gw mau liat jadwal kereta malah tertera nggak ada jadwal..Error Mulu anying 😂,1,2026-03-24 01:50:31,Ini gimana sih gw mau liat jadwal kereta malah tertera nggak ada jadwal Error Mulu anying,ini gimana sih gw mau liat jadwal kereta malah tertera nggak ada jadwal error mulu anying,ini gimana sih gw mau liat jadwal kereta malah tertera tidak ada jadwal error mulu anying,1,0,1,0,Ini gimana sih gw mau liat jadwal kereta malah tertera nggak ada jadwal..Error Mulu anying 😂||ini gimana sih gw mau liat jadwal kereta malah tertera tidak ada jadwal error mulu anying,negatif
"sering bug, pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada",2,2026-03-24 01:45:17,sering bug pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada,sering bug pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada,sering bug pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada,1,1,1,0,"sering bug, pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada||sering bug pemesana tiket suka gaada jadwalnya pdhl kalo lewat web booking kai ada",negatif
sangat baik,5,2026-03-24 01:22:00,sangat baik,sangat baik,sangat baik,0,0,0,0,sangat baik||sangat baik,netral
keren,5,2026-03-24 00:06:31,keren,keren,keren,0,0,0,0,keren||keren,netral
pparah!!! kecewa pembatalan dari aplikasi dari jauh2 hari Uda error!!!,1,2026-03-23 23:01:09,pparah kecewa pembatalan dari aplikasi dari jauh hari Uda error,pparah kecewa pembatalan dari aplikasi dari jauh hari uda error,pparah kecewa pembatalan dari aplikasi dari jauh hari uda error,1,0,0,0,pparah!!! kecewa pembatalan dari aplikasi dari jauh2 hari Uda error!!!||pparah kecewa pembatalan dari aplikasi dari jauh hari uda error,negatif
terima kasih mempermudah dlm pelayanan pembelian tiket.terima kasih,5,2026-03-23 22:17:18,terima kasih mempermudah dlm pelayanan pembelian tiket terima kasih,terima kasih mempermudah dlm pelayanan pembelian tiket terima kasih,terima kasih mempermudah dlm pelayanan pembelian tiket terima kasih,0,1,0,0,terima kasih mempermudah dlm pelayanan pembelian tiket.terima kasih||terima kasih mempermudah dlm pelayanan pembelian tiket terima kasih,positif
perlu ditingkatkan lagi,4,2026-03-23 21:05:58,perlu ditingkatkan lagi,perlu ditingkatkan lagi,perlu ditingkatkan lagi,1,0,0,0,perlu ditingkatkan lagi||perlu ditingkatkan lagi,netral
bagus juga,5,2026-03-23 20:27:59,bagus juga,bagus juga,bagus juga,0,0,0,0,bagus juga||bagus juga,positif
terlantung lantung sya di jogja... cukup sekali ini pake kai...,1,2026-03-23 18:26:48,terlantung lantung sya di jogja cukup sekali ini pake kai,terlantung lantung sya di jogja cukup sekali ini pake kai,terlantung lantung sya di jogja cukup sekali ini pake kai,0,0,0,0,terlantung lantung sya di jogja... cukup sekali ini pake kai...||terlantung lantung sya di jogja cukup sekali ini pake kai,negatif
Joss Mempermudah perjalan pokoknya,5,2026-03-23 17:41:53,Joss Mempermudah perjalan pokoknya,joss mempermudah perjalan pokoknya,joss mempermudah perjalan pokoknya,0,0,0,0,Joss Mempermudah perjalan pokoknya||joss mempermudah perjalan pokoknya,positif
"bagus aplikasinya, cuma ada satu masalahnya Pembayaran nya gak bisa semua e-wallet dan bank pun ngak bisa semua bank. kedepan nya tolong update tambah Pembayaran semua e-wallet dan bank🙏",3,2026-03-23 17:39:39,bagus aplikasinya cuma ada satu masalahnya Pembayaran nya gak bisa semua e wallet dan bank pun ngak bisa semua bank kedepan nya tolong update tambah Pembayaran semua e wallet dan bank,bagus aplikasinya cuma ada satu masalahnya pembayaran nya gak bisa semua e wallet dan bank pun ngak bisa semua bank kedepan nya tolong update tambah pembayaran semua e wallet dan bank,bagus aplikasinya cuma ada satu masalahnya pembayaran nya tidak bisa semua e wallet dan bank pun ngak bisa semua bank kedepan nya tolong update tambah pembayaran semua e wallet dan bank,1,1,0,0,"bagus aplikasinya, cuma ada satu masalahnya Pembayaran nya gak bisa semua e-wallet dan bank pun ngak bisa semua bank. kedepan nya tolong update tambah Pembayaran semua e-wallet dan bank🙏||bagus aplikasinya cuma ada satu masalahnya pembayaran nya tidak bisa semua e wallet dan bank pun ngak bisa semua bank kedepan nya tolong update tambah pembayaran semua e wallet dan bank",negatif
bagus,5,2026-03-23 17:38:13,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
"Setelah di update jadi lemot, malas",2,2026-03-23 17:27:38,Setelah di update jadi lemot malas,setelah di update jadi lemot malas,setelah di update jadi lemot malas,1,0,0,0,"Setelah di update jadi lemot, malas||setelah di update jadi lemot malas",negatif
aman nyaman ekonomis mantap,5,2026-03-23 17:15:20,aman nyaman ekonomis mantap,aman nyaman ekonomis mantap,aman nyaman ekonomis mantap,0,0,0,0,aman nyaman ekonomis mantap||aman nyaman ekonomis mantap,positif
pemeliharaan lama tidak kayak biasanya,2,2026-03-23 16:58:30,pemeliharaan lama tidak kayak biasanya,pemeliharaan lama tidak kayak biasanya,pemeliharaan lama tidak kayak biasanya,0,0,0,0,pemeliharaan lama tidak kayak biasanya||pemeliharaan lama tidak kayak biasanya,negatif
saya merasakan ketidaknyamanan dengan adanya fitur female seat map. karena saya melihat data privasi penumpang pria bocor disini. dan membuat keraguan akan privasi data. demi asas keadilan tolong fitur itu dihapuskan. kai sendiri sudah ada undang-undang tegas tentang pelecehan. jadi jangan berlebihan dan diskriminasi gender. ingat di mata hukum semuanya setara.,1,2026-03-23 16:05:50,saya merasakan ketidaknyamanan dengan adanya fitur female seat map karena saya melihat data privasi penumpang pria bocor disini dan membuat keraguan akan privasi data demi asas keadilan tolong fitur itu dihapuskan kai sendiri sudah ada undang undang tegas tentang pelecehan jadi jangan berlebihan dan diskriminasi gender ingat di mata hukum semuanya setara,saya merasakan ketidaknyamanan dengan adanya fitur female seat map karena saya melihat data privasi penumpang pria bocor disini dan membuat keraguan akan privasi data demi asas keadilan tolong fitur itu dihapuskan kai sendiri sudah ada undang undang tegas tentang pelecehan jadi jangan berlebihan dan diskriminasi gender ingat di mata hukum semuanya setara,saya merasakan ketidaknyamanan dengan adanya fitur female seat map karena saya melihat data privasi penumpang pria bocor disini dan membuat keraguan akan privasi data demi asas keadilan tolong fitur itu dihapuskan kai sendiri sudah ada undang undang tegas tentang pelecehan jadi jangan berlebihan dan diskriminasi gender ingat di mata hukum semuanya setara,0,0,0,0,saya merasakan ketidaknyamanan dengan adanya fitur female seat map. karena saya melihat data privasi penumpang pria bocor disini. dan membuat keraguan akan privasi data. demi asas keadilan tolong fitur itu dihapuskan. kai sendiri sudah ada undang-undang tegas tentang pelecehan. jadi jangan berlebihan dan diskriminasi gender. ingat di mata hukum semuanya setara.||saya merasakan ketidaknyamanan dengan adanya fitur female seat map karena saya melihat data privasi penumpang pria bocor disini dan membuat keraguan akan privasi data demi asas keadilan tolong fitur itu dihapuskan kai sendiri sudah ada undang undang tegas tentang pelecehan jadi jangan berlebihan dan diskriminasi gender ingat di mata hukum semuanya setara,negatif
👍,5,2026-03-23 15:48:28,,,,0,0,0,0,👍||,netral
"loding lambat, mungkin karena Lebaran",5,2026-03-23 15:45:39,loding lambat mungkin karena Lebaran,loding lambat mungkin karena lebaran,loding lambat mungkin karena lebaran,0,0,0,0,"loding lambat, mungkin karena Lebaran||loding lambat mungkin karena lebaran",negatif
"halo min, saya kesulitan login nih. sebelumnya akun kai nya menjadi warna hitam Abu abu dan ga bisa saya klik apa apa kemudian saya uninstall ulang malah ga bisa masuk",1,2026-03-23 15:45:25,halo min saya kesulitan login nih sebelumnya akun kai nya menjadi warna hitam Abu abu dan ga bisa saya klik apa apa kemudian saya uninstall ulang malah ga bisa masuk,halo min saya kesulitan login nih sebelumnya akun kai nya menjadi warna hitam abu abu dan ga bisa saya klik apa apa kemudian saya uninstall ulang malah ga bisa masuk,halo min saya kesulitan login nih sebelumnya akun kai nya menjadi warna hitam abu abu dan tidak bisa saya klik apa apa kemudian saya uninstall ulang malah tidak bisa masuk,1,0,0,1,"halo min, saya kesulitan login nih. sebelumnya akun kai nya menjadi warna hitam Abu abu dan ga bisa saya klik apa apa kemudian saya uninstall ulang malah ga bisa masuk||halo min saya kesulitan login nih sebelumnya akun kai nya menjadi warna hitam abu abu dan tidak bisa saya klik apa apa kemudian saya uninstall ulang malah tidak bisa masuk",negatif
jelek bgt aplikasiny,1,2026-03-23 15:31:41,jelek bgt aplikasiny,jelek bgt aplikasiny,jelek banget aplikasiny,0,0,0,0,jelek bgt aplikasiny||jelek banget aplikasiny,negatif
"KAI Makin banyak perkembangan, makin bagus pelayananya",5,2026-03-23 14:57:50,KAI Makin banyak perkembangan makin bagus pelayananya,kai makin banyak perkembangan makin bagus pelayananya,kai makin banyak perkembangan makin bagus pelayananya,0,0,0,0,"KAI Makin banyak perkembangan, makin bagus pelayananya||kai makin banyak perkembangan makin bagus pelayananya",positif
lebih gampang pemesanan tiketnya,5,2026-03-23 14:21:35,lebih gampang pemesanan tiketnya,lebih gampang pemesanan tiketnya,lebih gampang pemesanan tiketnya,0,1,0,0,lebih gampang pemesanan tiketnya||lebih gampang pemesanan tiketnya,positif
railfood gak bisa bayar pakai QRIS,2,2026-03-23 14:17:42,railfood gak bisa bayar pakai QRIS,railfood gak bisa bayar pakai qris,railfood tidak bisa bayar pakai qris,1,1,0,0,railfood gak bisa bayar pakai QRIS||railfood tidak bisa bayar pakai qris,negatif
pelayanan aplikasi jelek,1,2026-03-23 13:29:02,pelayanan aplikasi jelek,pelayanan aplikasi jelek,pelayanan aplikasi jelek,0,0,0,0,pelayanan aplikasi jelek||pelayanan aplikasi jelek,negatif
"aplikasi sampah, harga lebih tinggi dibanding sama aplikasi layanan lainnya. Di Traveloka seluruh tiket Tj.Priuk-Cikampek ga sampai 70k, di KAI access malah melampaui 100k++, padahal sama-sama kelas ekonomi.",1,2026-03-23 13:25:28,aplikasi sampah harga lebih tinggi dibanding sama aplikasi layanan lainnya Di Traveloka seluruh tiket Tj Priuk Cikampek ga sampai k di KAI access malah melampaui k padahal sama sama kelas ekonomi,aplikasi sampah harga lebih tinggi dibanding sama aplikasi layanan lainnya di traveloka seluruh tiket tj priuk cikampek ga sampai k di kai access malah melampaui k padahal sama sama kelas ekonomi,aplikasi sampah harga lebih tinggi dibanding sama aplikasi layanan lainnya di traveloka seluruh tiket tj priuk cikampek tidak sampai k di kai access malah melampaui k padahal sama sama kelas ekonomi,0,1,0,1,"aplikasi sampah, harga lebih tinggi dibanding sama aplikasi layanan lainnya. Di Traveloka seluruh tiket Tj.Priuk-Cikampek ga sampai 70k, di KAI access malah melampaui 100k++, padahal sama-sama kelas ekonomi.||aplikasi sampah harga lebih tinggi dibanding sama aplikasi layanan lainnya di traveloka seluruh tiket tj priuk cikampek tidak sampai k di kai access malah melampaui k padahal sama sama kelas ekonomi",negatif
tmksh atas kerja hebatnya Access by KAI,5,2026-03-23 12:55:56,tmksh atas kerja hebatnya Access by KAI,tmksh atas kerja hebatnya access by kai,tmksh atas kerja hebatnya access by kai,0,0,0,0,tmksh atas kerja hebatnya Access by KAI||tmksh atas kerja hebatnya access by kai,netral
aneh sekrang ga bsa d akses,1,2026-03-23 12:51:53,aneh sekrang ga bsa d akses,aneh sekrang ga bsa d akses,aneh sekrang tidak bsa d akses,0,0,0,1,aneh sekrang ga bsa d akses||aneh sekrang tidak bsa d akses,negatif
setiap hubungi CS via WhatsApp gak pernah puas boot nya ngeselin banget!! padahal digital udah seluruh nya namun ketika komplain capeknya ampun..,1,2026-03-23 12:37:38,setiap hubungi CS via WhatsApp gak pernah puas boot nya ngeselin banget padahal digital udah seluruh nya namun ketika komplain capeknya ampun,setiap hubungi cs via whatsapp gak pernah puas boot nya ngeselin banget padahal digital udah seluruh nya namun ketika komplain capeknya ampun,setiap hubungi customer service via whatsapp tidak pernah puas boot nya ngeselin banget padahal digital sudah seluruh nya namun ketika komplain capeknya ampun,0,0,0,1,setiap hubungi CS via WhatsApp gak pernah puas boot nya ngeselin banget!! padahal digital udah seluruh nya namun ketika komplain capeknya ampun..||setiap hubungi customer service via whatsapp tidak pernah puas boot nya ngeselin banget padahal digital sudah seluruh nya namun ketika komplain capeknya ampun,negatif
Lain kali tiket nya banyakin sementara saya kasih bintang 4,4,2026-03-23 10:55:42,Lain kali tiket nya banyakin sementara saya kasih bintang,lain kali tiket nya banyakin sementara saya kasih bintang,lain kali tiket nya banyakin sementara saya kasih bintang,0,1,0,0,Lain kali tiket nya banyakin sementara saya kasih bintang 4||lain kali tiket nya banyakin sementara saya kasih bintang,negatif
lemot,2,2026-03-23 09:57:30,lemot,lemot,lemot,1,0,0,0,lemot||lemot,negatif
ok,5,2026-03-23 09:44:31,ok,ok,ok,0,0,0,0,ok||ok,netral
"knp pas menu tgl ,kgk bsa scrol smp bawah si. jd gk bsa pilih tgl di akhr buln. bug ya?",1,2026-03-23 09:09:09,knp pas menu tgl kgk bsa scrol smp bawah si jd gk bsa pilih tgl di akhr buln bug ya,knp pas menu tgl kgk bsa scrol smp bawah si jd gk bsa pilih tgl di akhr buln bug ya,knp pas menu tgl kgk bsa scrol smp bawah si jd tidak bsa pilih tgl di akhr buln bug ya,1,0,0,0,"knp pas menu tgl ,kgk bsa scrol smp bawah si. jd gk bsa pilih tgl di akhr buln. bug ya?||knp pas menu tgl kgk bsa scrol smp bawah si jd tidak bsa pilih tgl di akhr buln bug ya",negatif
sangat membantu,4,2026-03-23 08:58:21,sangat membantu,sangat membantu,sangat membantu,0,0,0,0,sangat membantu||sangat membantu,positif
Mantap,5,2026-03-23 08:39:17,Mantap,mantap,mantap,0,0,0,0,Mantap||mantap,positif
good,5,2026-03-23 08:38:39,good,good,good,0,0,0,0,good||good,positif
awalnya eror ga bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada,1,2026-03-23 08:25:52,awalnya eror ga bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada,awalnya eror ga bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada,awalnya eror tidak bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada,1,1,0,0,awalnya eror ga bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada||awalnya eror tidak bisa nyari tiket terus saya install ulang malah tiket yang sudah saya beli hilang padahal bukti pembayaran nya ada,negatif
setelah diperbarui malah gk bisa pilih kursi. error terus.,1,2026-03-23 08:25:51,setelah diperbarui malah gk bisa pilih kursi error terus,setelah diperbarui malah gk bisa pilih kursi error terus,setelah diperbarui malah tidak bisa pilih kursi error terus,1,1,0,0,setelah diperbarui malah gk bisa pilih kursi. error terus.||setelah diperbarui malah tidak bisa pilih kursi error terus,negatif
ok,5,2026-03-23 07:46:32,ok,ok,ok,0,0,0,0,ok||ok,netral
tolong kembalikan versi lama aja masak versi baru pesan tiket aja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar,5,2026-03-23 06:57:44,tolong kembalikan versi lama aja masak versi baru pesan tiket aja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar,tolong kembalikan versi lama aja masak versi baru pesan tiket aja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar,tolong kembalikan versi lama saja masak versi baru pesan tiket saja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar,1,1,0,1,tolong kembalikan versi lama aja masak versi baru pesan tiket aja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar||tolong kembalikan versi lama saja masak versi baru pesan tiket saja selalu gagal terutama pakai kaspro saldo sudah kepotong tapi tiket tidak keluar,negatif
"aplikasi suka error, mau melakukan pembatalan tiket tidak bisa",2,2026-03-23 06:37:21,aplikasi suka error mau melakukan pembatalan tiket tidak bisa,aplikasi suka error mau melakukan pembatalan tiket tidak bisa,aplikasi suka error mau melakukan pembatalan tiket tidak bisa,1,1,0,0,"aplikasi suka error, mau melakukan pembatalan tiket tidak bisa||aplikasi suka error mau melakukan pembatalan tiket tidak bisa",negatif
Sudah jauh lebih baik,4,2026-03-23 06:24:37,Sudah jauh lebih baik,sudah jauh lebih baik,sudah jauh lebih baik,0,0,0,0,Sudah jauh lebih baik||sudah jauh lebih baik,netral
"aplikasi JELEK isinya Buzer TAD dan Pegawai KAI semua! muak gw! kompleman gak di baca malah di buzerin... noh aplikasi lu ANEH mau chek tiket doang antri 15 menit! sok paling heboh, mestinya biarin war, ini makin kesini makin PARAH DEVELOPERNYA ECEK ECEK BGT sekelas DANANTARA kek gini",1,2026-03-23 06:23:59,aplikasi JELEK isinya Buzer TAD dan Pegawai KAI semua muak gw kompleman gak di baca malah di buzerin noh aplikasi lu ANEH mau chek tiket doang antri menit sok paling heboh mestinya biarin war ini makin kesini makin PARAH DEVELOPERNYA ECEK ECEK BGT sekelas DANANTARA kek gini,aplikasi jelek isinya buzer tad dan pegawai kai semua muak gw kompleman gak di baca malah di buzerin noh aplikasi lu aneh mau chek tiket doang antri menit sok paling heboh mestinya biarin war ini makin kesini makin parah developernya ecek ecek bgt sekelas danantara kek gini,aplikasi jelek isinya buzer tad dan pegawai kai semua muak gw kompleman tidak di baca malah di buzerin noh aplikasi lu aneh mau chek tiket doang antri menit sok paling heboh mestinya biarin war ini makin kesini makin parah developernya ecek ecek banget sekelas danantara kek gini,0,1,0,0,"aplikasi JELEK isinya Buzer TAD dan Pegawai KAI semua! muak gw! kompleman gak di baca malah di buzerin... noh aplikasi lu ANEH mau chek tiket doang antri 15 menit! sok paling heboh, mestinya biarin war, ini makin kesini makin PARAH DEVELOPERNYA ECEK ECEK BGT sekelas DANANTARA kek gini||aplikasi jelek isinya buzer tad dan pegawai kai semua muak gw kompleman tidak di baca malah di buzerin noh aplikasi lu aneh mau chek tiket doang antri menit sok paling heboh mestinya biarin war ini makin kesini makin parah developernya ecek ecek banget sekelas danantara kek gini",negatif
baik,4,2026-03-23 05:59:07,baik,baik,baik,0,0,0,0,baik||baik,netral
access by KAI nyari tiket nya sulit tidak tersediah trus dan habis ... notif ngirim trus jadwal yg anda cek masi tersedia giliran di buka sama aja zonk...,1,2026-03-23 05:46:56,access by KAI nyari tiket nya sulit tidak tersediah trus dan habis notif ngirim trus jadwal yg anda cek masi tersedia giliran di buka sama aja zonk,access by kai nyari tiket nya sulit tidak tersediah trus dan habis notif ngirim trus jadwal yg anda cek masi tersedia giliran di buka sama aja zonk,access by kai nyari tiket nya sulit tidak tersediah trus dan habis notif ngirim trus jadwal yang anda cek masi tersedia giliran di buka sama saja zonk,0,1,1,0,access by KAI nyari tiket nya sulit tidak tersediah trus dan habis ... notif ngirim trus jadwal yg anda cek masi tersedia giliran di buka sama aja zonk...||access by kai nyari tiket nya sulit tidak tersediah trus dan habis notif ngirim trus jadwal yang anda cek masi tersedia giliran di buka sama saja zonk,negatif
mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan,5,2026-03-23 05:17:07,mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan,mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan,mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan,0,1,1,0,mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan||mantap sangat membantu dalam pemesanan tiket kereta yangbl sesuai sikon yang kita inginkan,positif
yang terbaik dan memudahkan,5,2026-03-23 04:58:16,yang terbaik dan memudahkan,yang terbaik dan memudahkan,yang terbaik dan memudahkan,0,0,0,0,yang terbaik dan memudahkan||yang terbaik dan memudahkan,positif
